Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
the parent trap,0.5000000000000001,0.75,PG,nancy meyers,Lindsay Lohan,0.3025830258302583,lindsay lohan,['lindsay lohan'],['lindsay lohan'],"['Adventure', 'Comedy', 'Drama']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
migration,0.5000000000000001,0.9814814814814814,PG,benjamin renner,Kumail Nanjiani,0.13653136531365315,kumail nanjiani,['kumail nanjiani'],['kumail nanjiani'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cars,0.5892857142857144,0.8240740740740741,G,john lasseter,Owen Wilson,0.25830258302583026,owen wilson,['owen wilson'],['owen wilson'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elemental,0.5535714285714287,0.9814814814814814,PG,peter sohn,Leah Lewis,0.20295202952029523,leah lewis,['leah lewis'],['leah lewis'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spirited away,0.8392857142857144,0.7777777777777778,PG,hayao miyazaki,Daveigh Chase,0.2915129151291513,daveigh chase,['daveigh chase'],['daveigh chase'],"['Animation', 'Adventure', 'Family']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ratatouille,0.75,0.8333333333333334,G,brad bird,Brad Garrett,0.23985239852398527,brad garrett,['brad garrett'],['brad garrett'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
despicable me,0.6607142857142858,0.861111111111111,PG,pierre coffin,Steve Carell,0.18081180811808117,steve carell,['steve carell'],['steve carell'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the super mario bros. movie,0.5535714285714287,0.9814814814814814,PG,aaron horvath,Chris Pratt,0.1697416974169742,chris pratt,['chris pratt'],['chris pratt'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
up,0.785714285714286,0.8518518518518519,PG,pete docter,Edward Asner,0.18450184501845018,edward asner,['edward asner'],['edward asner'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freaky friday,0.42857142857142866,0.7962962962962963,PG,mark waters,Jamie Lee Curtis,0.1881918819188192,jamie lee curtis,['jamie lee curtis'],['jamie lee curtis'],"['Comedy', 'Family', 'Fantasy']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
the sandlot,0.6964285714285715,0.7037037037037037,PG,david mickey evans,Tom Guiry,0.20295202952029523,tom guiry,['tom guiry'],['tom guiry'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wish,0.3035714285714286,0.9814814814814814,PG,chris buck,"Ariana De, Bose",0.18081180811808117,"ariana de, bose","['ariana de', 'bose']","['ariana de', 'bose']","['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the goonies,0.6785714285714287,0.6296296296296295,PG,richard donner,Sean Astin,0.25092250922509224,sean astin,['sean astin'],['sean astin'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wonder,0.7142857142857144,0.9259259259259259,PG,stephen chbosky,Jacob Tremblay,0.24723247232472326,jacob tremblay,['jacob tremblay'],['jacob tremblay'],"['Drama', 'Family', 'Family']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
the princess bride,0.7321428571428573,0.6481481481481481,PG,rob reiner,Cary Elwes,0.1918819188191882,cary elwes,['cary elwes'],['cary elwes'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wonka,0.5535714285714287,0.9814814814814814,PG,paul king,Timothée Chalamet,0.25830258302583026,timothée chalamet,['timothée chalamet'],['timothée chalamet'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the lion king,0.8214285714285716,0.7129629629629629,G,roger allers,Matthew Broderick,0.15498154981549817,matthew broderick,['matthew broderick'],['matthew broderick'],"['Animation', 'Adventure', 'Drama']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the garfield movie,0.33928571428571436,0.9907407407407407,PG,mark dindal,Chris Pratt,0.20295202952029523,chris pratt,['chris pratt'],['chris pratt'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ultraman: rising,0.5535714285714287,0.9907407407407407,PG,shannon tindle,Christopher Sean,0.26199261992619927,christopher sean,['christopher sean'],['christopher sean'],"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kung fu panda ,0.42857142857142866,0.9907407407407407,PG,mike mitchell,Jack Black,0.1771217712177122,jack black,['jack black'],['jack black'],"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the boy and the heron,0.642857142857143,0.9814814814814814,PG-13,hayao miyazaki,Soma Santoki,0.2878228782287823,soma santoki,['soma santoki'],['soma santoki'],"['Animation', 'Adventure', 'Drama']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
